kingdom,phylum,class,order,family,genus,species,scientificName,Latitude,Longitude,eventDate,day,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",34.4245,-120.3581,1995-11-14T14:42:58,14.0,11.0,1995,HUMAN_OBSERVATION,BOEM,53,53_14440
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",34.4177,-120.0659,1995-11-14T15:52:44,14.0,11.0,1995,HUMAN_OBSERVATION,BOEM,53,53_14314
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",34.3239,-120.3666,1995-11-14T14:43:54,14.0,11.0,1995,HUMAN_OBSERVATION,BOEM,53,53_14255
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",34.4058,-120.0955,1995-11-15T12:20:18,15.0,11.0,1995,HUMAN_OBSERVATION,BOEM,53,53_14900
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",34.334,-119.8626,1995-11-15T12:23:22,15.0,11.0,1995,HUMAN_OBSERVATION,BOEM,53,53_14914
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",34.2803,-119.9209,1995-11-15T12:22:10,15.0,11.0,1995,HUMAN_OBSERVATION,BOEM,53,53_14911
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",34.2578,-119.9129,1995-11-15T12:22:10,15.0,11.0,1995,HUMAN_OBSERVATION,BOEM,53,53_14912
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",34.3566,-119.8146,1995-11-15T12:23:31,15.0,11.0,1995,HUMAN_OBSERVATION,BOEM,53,53_14927
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",34.4081,-120.1906,1995-11-15T11:15:00,15.0,11.0,1995,HUMAN_OBSERVATION,BOEM,53,53_14882
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",34.1958,-119.313,1996-08-13T12:20:49,13.0,8.0,1996,HUMAN_OBSERVATION,BOEM,53,53_7075
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",34.3831,-120.24,1996-11-13T00:00:00,13.0,11.0,1996,HUMAN_OBSERVATION,BOEM,53,53_10445
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",34.383,-120.0308,1996-11-13T00:00:00,13.0,11.0,1996,HUMAN_OBSERVATION,BOEM,53,53_10447
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",34.3864,-120.6457,1996-04-09T00:00:00,9.0,4.0,1996,HUMAN_OBSERVATION,BOEM,53,53_255
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",34.2776,-119.624,1996-02-23T10:04:25,23.0,2.0,1996,HUMAN_OBSERVATION,BOEM,53,53_8151
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",33.099031,-118.587028,1998-10-17T06:15:30,17.0,10.0,1998,HUMAN_OBSERVATION,PRBO Conservation Science,507,507_30601
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",32.784308,-119.180345,1998-10-17T12:43:48,17.0,10.0,1998,HUMAN_OBSERVATION,PRBO Conservation Science,507,507_30643
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",33.413984,-118.324518,1998-05-21T18:30:54,21.0,5.0,1998,HUMAN_OBSERVATION,PRBO Conservation Science,507,507_29202
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",33.345888,-120.903198,1998-09-23T14:20:30,23.0,9.0,1998,HUMAN_OBSERVATION,PRBO Conservation Science,507,507_30383
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",37.933524,-123.341264,1996-05-14T15:24:00,14.0,5.0,1996,HUMAN_OBSERVATION,PRBO Conservation Science,507,507_54483
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",34.2286,-119.743468,2002-11-21T11:53:06,21.0,11.0,2002,HUMAN_OBSERVATION,PRBO Conservation Science,507,507_39517
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",32.313455,-118.609939,1992-07-03T07:20:30,3.0,7.0,1992,HUMAN_OBSERVATION,PRBO Conservation Science,507,507_15586
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",34.38711,-120.389164,1993-08-22T18:10:36,22.0,8.0,1993,HUMAN_OBSERVATION,PRBO Conservation Science,507,507_19569
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",32.753064,-122.462919,1994-01-31T15:51:30,31.0,1.0,1994,HUMAN_OBSERVATION,PRBO Conservation Science,507,507_20641
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",32.701843,-122.575905,1994-01-31T15:11:00,31.0,1.0,1994,HUMAN_OBSERVATION,PRBO Conservation Science,507,507_20637
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",32.054363,-122.995238,1998-05-19T14:37:30,19.0,5.0,1998,HUMAN_OBSERVATION,PRBO Conservation Science,507,507_29000
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",32.058997,-123.896763,2004-01-14T14:20:12,14.0,1.0,2004,HUMAN_OBSERVATION,PRBO Conservation Science,507,507_44109
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",33.248474,-119.825136,1993-08-18T11:50:36,18.0,8.0,1993,HUMAN_OBSERVATION,PRBO Conservation Science,507,507_19297
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",33.336172,-117.837791,1998-03-11T14:10:24,11.0,3.0,1998,HUMAN_OBSERVATION,PRBO Conservation Science,507,507_28018
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",32.755573,-119.253944,1998-03-12T13:05:48,12.0,3.0,1998,HUMAN_OBSERVATION,PRBO Conservation Science,507,507_28078
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",31.775072,-122.824445,1992-02-06T07:21:30,6.0,2.0,1992,HUMAN_OBSERVATION,PRBO Conservation Science,507,507_14397
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",34.53118,-121.95896,1993-01-25T15:20:54,25.0,1.0,1993,HUMAN_OBSERVATION,PRBO Conservation Science,507,507_18217
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",34.505409,-122.016532,1993-01-25T14:53:42,25.0,1.0,1993,HUMAN_OBSERVATION,PRBO Conservation Science,507,507_18210
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",34.250922,-119.655233,2003-07-26T08:13:00,26.0,7.0,2003,HUMAN_OBSERVATION,PRBO Conservation Science,507,507_43246
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",34.241667,-119.590894,2003-07-26T07:56:06,26.0,7.0,2003,HUMAN_OBSERVATION,PRBO Conservation Science,507,507_43242
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",32.222459,-120.335983,2000-04-12T12:29:36,12.0,4.0,2000,HUMAN_OBSERVATION,PRBO Conservation Science,507,507_32729
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",32.527351,-117.715895,1997-12-16T09:58:06,16.0,12.0,1997,HUMAN_OBSERVATION,PRBO Conservation Science,507,507_27648
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",34.250836,-119.756267,1991-03-09T13:04:54,9.0,3.0,1991,HUMAN_OBSERVATION,PRBO Conservation Science,507,507_12596
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",34.256138,-119.821271,1991-03-09T13:23:48,9.0,3.0,1991,HUMAN_OBSERVATION,PRBO Conservation Science,507,507_12598
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",32.263804,-118.743792,1995-07-07T09:38:48,7.0,7.0,1995,HUMAN_OBSERVATION,PRBO Conservation Science,507,507_22506
Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca,"Prionace glauca (Linnaeus, 1758)",33.824237,-123.434391,1992-07-14T15:15:42,14.0,7.0,1992,HUMAN_OBSERVATION,PRBO Conservation Science,507,507_16442
